customer_id,age,gender,employment_status,employment_length_years,annual_income,monthly_income,total_debt,credit_card_debt,mortgage_debt,auto_loan_debt,debt_to_income_ratio,credit_score,num_open_accounts,num_credit_cards,credit_utilization,late_payments_last_2y,serious_delinquencies,num_credit_inquiries_last_6m,oldest_account_age_years,avg_account_age_years,loan_amount_requested,loan_purpose,loan_term_months,interest_rate_offered,default,loan_to_income_ratio,debt_to_credit_limit
CUST_00000,55,F,Self-employed,0.9,"500,000.00","41,666.00","42,126.00","42,126.00",0.00,0.00,0.084,736,9,3,0.281,0,0,0,34.5,20.6,150000,Business,36,0.1,0,0.3,0.281
CUST_00001,45,F,Unemployed,0,"500,000.00","41,666.00","54,782.46","37,180.00",0.00,"17,602.00",0.11,762,9,2,0.248,0,0,0,26.1,13.8,150000,Home Improvement,24,0.096,0,0.3,0.248
CUST_00002,43,F,Self-employed,2.5,"500,000.00","41,666.00","34,041.57","13,948.00",0.00,"20,093.00",0.068,694,7,1,0.093,0,0,0,13.9,10.8,130525,Business,36,0.104,0,0.261,0.093
CUST_00003,43,M,Employed,0,"500,000.00","41,666.00","404,703.88","23,029.00","381,674.00",0.00,0.809,815,9,2,0.154,1,0,1,16.9,11,150000,Debt Consolidation,36,0.086,0,0.3,0.154
CUST_00004,70,F,Retired,7.2,"500,000.00","41,666.00","45,248.00","45,248.00",0.00,0.00,0.09,850,9,2,0.302,0,0,0,30.5,26.8,150000,Home Improvement,48,0.08,0,0.3,0.302
CUST_00005,60,F,Employed,7.4,"500,000.00","41,666.00","469,671.19","51,555.00","389,215.00","28,900.00",0.939,617,6,5,0.344,0,0,0,31.3,15.7,150000,Home Improvement,24,0.121,1,0.3,0.344
CUST_00006,40,F,Employed,1,"500,000.00","41,666.00","269,674.58","20,221.00","249,453.00",0.00,0.539,727,7,3,0.135,0,0,1,12.8,11.3,150000,Business,36,0.102,0,0.3,0.135
CUST_00007,56,M,Employed,2.7,"500,000.00","41,666.00","281,220.83","32,652.00","248,568.00",0.00,0.562,802,6,3,0.218,0,0,1,26.6,16.7,150000,Business,24,0.088,0,0.3,0.218
CUST_00008,51,F,Part-time,0,"500,000.00","41,666.00","10,152.00","10,152.00",0.00,0.00,0.02,737,7,4,0.068,1,0,1,16.3,11.9,150000,Home Improvement,48,0.1,0,0.3,0.068
CUST_00009,26,M,Self-employed,2.5,"500,000.00","41,666.00","50,340.54","33,792.00",0.00,"16,548.00",0.101,796,3,2,0.225,0,0,3,4,2.8,120587,Home Improvement,24,0.084,0,0.241,0.225
CUST_00010,34,F,Employed,3.9,"500,000.00","41,666.00","216,272.59","17,869.00","198,403.00",0.00,0.433,835,9,3,0.119,0,0,2,16,9.4,124324,Home Improvement,60,0.078,0,0.249,0.119
CUST_00011,52,M,Employed,2.4,"500,000.00","41,666.00","159,614.30","35,028.00","124,586.00",0.00,0.319,850,10,1,0.234,0,0,1,24.3,19.8,150000,Business,36,0.08,0,0.3,0.234
CUST_00012,70,F,Retired,1,"500,000.00","41,666.00","50,828.00","50,828.00",0.00,0.00,0.102,740,5,3,0.339,0,1,2,26.8,15.7,141741,Home Improvement,48,0.098,0,0.283,0.339
CUST_00013,44,M,Part-time,0,"500,000.00","41,666.00","45,222.92","9,675.00",0.00,"35,547.00",0.09,661,7,2,0.064,0,1,0,15.9,11.4,49198,Debt Consolidation,60,0.093,0,0.098,0.064
CUST_00014,39,M,Part-time,0,"500,000.00","41,666.00","20,016.00","20,016.00",0.00,0.00,0.04,850,6,1,0.133,0,0,2,16.9,11.3,150000,Other,60,0.08,0,0.3,0.133
CUST_00015,49,F,Employed,,"500,000.00","41,666.00","20,658.00","20,658.00",0.00,0.00,0.041,745,7,1,0.138,0,0,0,24.6,13.6,150000,Debt Consolidation,36,0.099,0,0.3,0.138
CUST_00016,39,M,Employed,10,"500,000.00","41,666.00","13,185.00","13,185.00",0.00,0.00,0.026,686,6,3,0.088,0,0,0,13.3,9.2,150000,Business,48,0.109,0,0.3,0.088
CUST_00017,43,F,Employed,3.3,"500,000.00","41,666.00","47,956.00","47,956.00",0.00,0.00,0.096,850,6,1,0.32,1,0,0,13.4,9,150000,Education,24,0.08,0,0.3,0.32
CUST_00018,47,F,Employed,2.4,"500,000.00","41,666.00","103,869.51","27,726.00","76,143.00",0.00,0.208,850,5,2,0.185,0,0,4,19.6,10.7,93920,Debt Consolidation,12,0.069,0,0.188,0.185
CUST_00019,33,F,Employed,1.4,"500,000.00","41,666.00","55,954.41","22,666.00",0.00,"33,288.00",0.112,737,9,3,,0,1,2,11.5,7.5,150000,Education,48,0.1,1,0.3,0.151
CUST_00020,61,M,Employed,,"500,000.00","41,666.00","41,052.00","41,052.00",0.00,0.00,0.082,576,7,3,0.274,0,1,2,26.4,13.7,150000,Home Improvement,36,0.128,1,0.3,0.274
CUST_00021,32,F,Employed,0,"500,000.00","41,666.00","208,977.40","24,703.00","184,274.00",0.00,0.418,850,6,3,0.165,0,0,0,9.4,6.3,54713,Other,24,0.061,0,0.109,0.165
CUST_00022,31,M,Self-employed,1.1,"500,000.00","41,666.00","53,297.41","34,508.00",0.00,"18,789.00",0.107,622,6,4,0.23,0,0,0,9.4,7,150000,Auto,36,0.12,0,0.3,0.23
CUST_00023,50,F,Employed,2,"500,000.00","41,666.00","177,998.44","7,165.00","170,833.00",0.00,0.356,779,7,4,,1,0,1,17.9,9.8,150000,Home Improvement,60,0.093,0,0.3,0.048
CUST_00024,60,F,Self-employed,4.3,"500,000.00","41,666.00","55,983.00","55,983.00",0.00,0.00,0.112,850,4,2,0.373,0,0,1,22.8,16.9,150000,Debt Consolidation,36,0.08,0,0.3,0.373
CUST_00025,50,M,Self-employed,,"500,000.00","41,666.00","266,142.22","22,387.00","243,755.00",0.00,0.532,727,6,4,0.149,0,0,0,22.6,18.7,65769,Home Improvement,72,0.085,0,0.132,0.149
CUST_00026,45,M,Employed,0,"500,000.00","41,666.00","52,893.00","52,893.00",0.00,0.00,0.106,812,7,2,0.353,0,1,1,16.1,9.2,150000,Debt Consolidation,60,0.087,0,0.3,0.353
CUST_00027,42,M,Self-employed,3,"500,000.00",,"270,044.93","62,918.00","171,551.00","35,575.00",0.54,799,10,1,0.419,0,0,0,16.4,14.4,63213,Business,48,0.072,0,0.126,0.419
CUST_00028,40,F,Employed,0.9,"500,000.00","41,666.00","26,525.00","26,525.00",0.00,0.00,0.053,850,7,2,0.177,0,0,0,15.9,11,150000,Home Improvement,36,0.08,0,0.3,0.177
CUST_00029,66,M,Retired,0.7,"500,000.00","41,666.00","24,602.00","24,602.00",0.00,0.00,0.049,765,5,3,0.164,1,0,1,24,18.8,150000,Business,72,0.095,0,0.3,0.164
CUST_00030,52,F,Employed,6.4,"500,000.00","41,666.00","21,605.00","21,605.00",0.00,0.00,0.043,809,3,7,0.144,0,0,0,32.7,24.5,150000,Debt Consolidation,72,0.087,0,0.3,0.144
CUST_00031,41,F,Employed,16.8,"500,000.00","41,666.00","218,869.92","18,233.00","200,636.00",0.00,0.438,780,7,0,0.122,0,0,1,23,19.3,150000,Debt Consolidation,12,0.092,0,0.3,0.122
CUST_00032,38,F,Employed,7.2,"500,000.00","41,666.00","119,778.35","87,910.00",0.00,"31,868.00",0.24,714,8,5,0.586,0,0,3,20,13.2,35948,Home Improvement,60,0.081,0,0.072,0.586
CUST_00033,57,F,Self-employed,7.6,"500,000.00",,"7,420.00","7,420.00",0.00,0.00,0.015,850,8,4,0.049,0,0,0,26.3,17.2,150000,Business,36,0.08,0,0.3,0.049
CUST_00034,66,M,Retired,3,"500,000.00","41,666.00","18,707.00","18,707.00",0.00,0.00,0.037,714,10,3,0.125,1,0,0,36.9,20.1,8287,Other,60,0.076,0,0.017,0.125
CUST_00035,64,F,Retired,4.9,"500,000.00",,"39,284.00","39,284.00",0.00,0.00,0.079,760,5,3,0.262,0,0,2,26.5,19.1,150000,Debt Consolidation,48,0.096,0,0.3,0.262
CUST_00036,36,F,Unemployed,0,"500,000.00","41,666.00","44,140.00","44,140.00",0.00,0.00,0.088,704,8,5,0.294,1,1,0,18,11.2,138542,Home Improvement,48,0.103,1,0.277,0.294
CUST_00037,42,F,Self-employed,0.7,"500,000.00","41,666.00","310,568.13","17,097.00","261,826.00","31,644.00",0.621,752,4,4,0.114,2,0,0,13.1,7.3,16596,Business,60,0.071,0,0.033,0.114
CUST_00038,40,M,Employed,12.6,"500,000.00","41,666.00","13,443.00","13,443.00",0.00,0.00,0.027,807,7,4,0.09,1,1,0,22,13.1,150000,Business,24,0.088,0,0.3,0.09
CUST_00039,44,M,Employed,17.9,"500,000.00","41,666.00","355,928.05","27,162.00","297,073.00","31,692.00",0.712,729,8,1,0.181,0,0,1,16,10,70618,Home Improvement,36,0.085,0,0.141,0.181
CUST_00040,61,M,Retired,0.9,"500,000.00","41,666.00","65,706.84","52,346.00",0.00,"13,360.00",0.131,784,3,4,0.349,1,0,1,27,23.7,150000,Debt Consolidation,48,0.092,0,0.3,0.349
